review_id,course_code,course_name,department,language,review_text,sentiment,confidence,aspects,keywords,intended_sentiment,intended_aspect
R0016,ENG150,Academic Writing,English,en,The workload was intense but manageable; the TA was supportive and made sure we were on track for the big paper deadline.,positive,0.9,"[""workload"", ""instructor"", ""logistics""]","[""workload"", ""intense"", ""manageable"", ""TA"", ""supportive"", ""big paper deadline""]",positive,workload
R0017,CS310,Operating Systems,Computer Science,zh,这门课的考试评分很公正，老师批改作业也很认真，感觉作业量适中，考试难度合理，助教也很有耐心解答问题。,positive,0.9,"[""exams_grading"", ""instructor"", ""workload""]","[""考试评分"", ""公正"", ""认真"", ""作业量"", ""耐心""]",positive,exams_grading
R0018,ENG150,Academic Writing,English,en,"The reading materials were too dense and didn't cover essential points, made the homework almost impossible.",negative,0.8,"[""course_content"", ""workload""]","[""reading"", ""materials"", ""dense"", ""homework"", ""impossible""]",negative,materials
R0019,CS420,Machine Learning,Computer Science,zh,这门机器学习的课教材太老了，习题难度大，助教水平也不咋地，感觉学不到什么新东西。,negative,0.8,"[""teaching_style"", ""course_content"", ""instructor""]","[""教材"", ""老了"", ""习题"", ""难度"", ""助教"", ""水平"", ""学不到"", ""新东西""]",negative,materials
R0020,CS310,Operating Systems,Computer Science,zh,老师准备的教材很全，每章的作业都挺有深度，助教也很有耐心解答问题。,positive,0.95,"[""materials"", ""course_content"", ""instructor""]","[""教材"", ""作业"", ""深度"", ""耐心"", ""解答""]",positive,materials
R0021,CS420,Machine Learning,Computer Science,zh,这门机器学习的课内容挺丰富的，作业虽然不少，但都挺有意思的，助教也很耐心，解答问题很详细。,positive,0.9,"[""teaching_style"", ""course_content"", ""instructor""]","[""机器学习"", ""内容丰富"", ""作业"", ""有趣"", ""耐心""]",positive,course_content
R0022,ENG150,Academic Writing,English,zh,教材太老了，好多案例都过时了，做作业特别累，感觉学不到啥有用的东西。助教也不太懂，经常回答错问题。,negative,0.8,"[""course_content"", ""workload"", ""instructor""]","[""教材"", ""过时"", ""累"", ""助教"", ""不懂""]",negative,materials
R0023,ENG150,Academic Writing,English,en,"This course is a nightmare. Assignments pile up faster than I can keep up, and the exams are so difficult, even the TAs can't help much.",negative,0.9,"[""workload"", ""exams_grading"", ""instructor""]","[""nightmare"", ""assignments"", ""pile up"", ""difficult"", ""TAs"", ""can't help""]",negative,workload
R0024,BUS220,Introduction to Marketing,Business,en,The readings were outdated and the slides didn't match the content. Homework assignments felt like busy work with no real connection to marketing.,negative,0.8,"[""course_content"", ""teaching_style"", ""workload""]","[""outdated"", ""slides"", ""content"", ""homework"", ""busy work"", ""marketing""]",negative,materials
R0025,ENG150,Academic Writing,English,en,Absolutely overwhelming. Every week felt like I was drowning in assignments and the TA barely knew the material themselves. I barely had time to breathe.,negative,0.9,"[""workload"", ""teaching_style"", ""instructor""]","[""overwhelming"", ""assignments"", ""drowning"", ""TA"", ""material""]",negative,workload
R0026,CS310,Operating Systems,Computer Science,en,Professor Smith's teaching style is really engaging. He breaks down complex concepts with examples that make sense.,positive,0.95,"[""teaching_style""]","[""Professor"", ""Smith"", ""teaching"", ""style"", ""engaging""]",positive,teaching_style
R0027,BUS220,Introduction to Marketing,Business,zh,这学期的市场营销课资料真的很全，PPT讲解得也很清楚，感觉收获挺多的。作业不算多，难度适中，助教答疑也很耐心，总体来说很满意。,positive,0.95,"[""materials"", ""teaching_style"", ""workload""]","[""资料"", ""清楚"", ""收获"", ""作业"", ""耐心""]",positive,materials
R0028,MATH240,Linear Algebra,Mathematics,en,"The exams were fair, but grading was inconsistent among TAs; some felt too strict on minor mistakes.",negative,0.8,"[""exams_grading"", ""instructor""]","[""exams"", ""grading"", ""inconsistent"", ""TAs"", ""strict""]",neutral,exams_grading
R0029,CS330,Database Systems,Computer Science,en,The readings and videos were really helpful; they gave me a strong foundation to tackle the complex assignments. The TAs were also really supportive and clarified doubts in a timely manner.,positive,0.95,"[""course_content"", ""teaching_style"", ""instructor""]","[""readings"", ""videos"", ""helpful"", ""assignments"", ""TAs"", ""supportive"", ""clarified""]",positive,materials
R0030,MATH240,Linear Algebra,Mathematics,en,"The homework load in Linear Algebra was absolutely overwhelming. I spent 12 hours a week on just the homework assignments, and the midterm was a real challenge. The TA's help was inconsistent, too.",negative,0.9,"[""workload"", ""exams_grading"", ""instructor""]","[""homework"", ""overwhelming"", ""midterm"", ""challenge"", ""TA's"", ""help"", ""inconsistent""]",negative,workload
R0031,BUS220,Introduction to Marketing,Business,zh,营销课老师讲得不清不楚，作业太多，助教也不太懂，感觉白上了这课。,negative,0.9,"[""teaching_style"", ""workload"", ""instructor""]","[""老师"", ""不清不楚"", ""作业"", ""助教"", ""白上了""]",negative,instructor
R0032,PHY101,General Physics I,Physics,en,"The textbooks were so confusing and out of date, it felt like we were learning from the Stone Age. The homework was a nightmare with no clear explanations.",negative,0.9,"[""materials"", ""course_content"", ""workload""]","[""textbooks"", ""confusing"", ""out of date"", ""homework"", ""nightmare"", ""clear explanations""]",negative,materials
R0033,CS330,Database Systems,Computer Science,en,"The exams were fair, and the grading was consistent. The TA explained the feedback well after each test.",positive,0.9,"[""exams_grading"", ""instructor"", ""teaching_style""]","[""exams"", ""fair"", ""grading"", ""consistent"", ""explained"", ""feedback""]",positive,exams_grading
R0034,ENG150,Academic Writing,English,zh,这门课的作业量太大了，而且助教回复速度慢，考试题目也太难，感觉压力很大。,negative,0.8,"[""workload"", ""instructor"", ""exams_grading""]","[""作业量"", ""助教"", ""考试题目"", ""压力大""]",negative,logistics
R0035,CS201,Data Structures,Computer Science,en,"The instructor's teaching style was really off-putting, barely explained the concepts, and the TA was almost never available for help with homework.",negative,0.9,"[""teaching_style"", ""instructor"", ""other""]","[""instructor"", ""teaching"", ""off-putting"", ""explained"", ""TA""]",negative,instructor
R0036,PHY101,General Physics I,Physics,en,"The exams were way too difficult, and the grading was inconsistent. One week I got a B for a perfect score, and the next I barely passed with a C+.",negative,0.9,"[""exams_grading"", ""instructor""]","[""exams"", ""difficult"", ""grading"", ""inconsistent""]",negative,exams_grading
R0037,MATH240,Linear Algebra,Mathematics,en,"Homework assignments piled up, and the TA was almost never available for help. Midterms were a disaster.",negative,0.8,"[""workload"", ""instructor"", ""exams_grading""]","[""Homework"", ""assignments"", ""piled"", ""TA"", ""never"", ""available"", ""help"", ""Midterms"", ""disaster""]",negative,logistics
R0038,CS330,Database Systems,Computer Science,zh,数据库教材很全面，习题量适中，让我对数据库有了更深的理解。助教也很负责，解答问题很耐心。,positive,0.95,"[""course_content"", ""teaching_style"", ""instructor""]","[""数据库"", ""教材"", ""习题"", ""理解"", ""助教"", ""耐心""]",positive,materials
R0039,PHY101,General Physics I,Physics,en,The instructor was really unprepared and had a tough time explaining complex concepts. TAs were barely helpful too.,negative,0.8,"[""instructor"", ""teaching_style"", ""exams_grading""]","[""instructor"", ""unprepared"", ""explaining"", ""complex"", ""concepts"", ""TAs"", ""barely"", ""helpful""]",negative,instructor
R0040,CS330,Database Systems,Computer Science,zh,考试太复杂了，判卷太宽松，感觉评分有失公允，助教也不怎么解答问题。,negative,0.8,"[""exams_grading"", ""instructor"", ""other""]","[""考试"", ""复杂"", ""判卷"", ""宽松"", ""评分"", ""助教"", ""解答""]",negative,exams_grading
R0041,CS310,Operating Systems,Computer Science,zh,张老师讲得真好，讲解清晰，作业量适中，助教也很有耐心，让我对操作系统有了更深的理解。,positive,0.95,"[""teaching_style"", ""workload"", ""instructor""]","[""张老师"", ""讲解清晰"", ""作业量"", ""助教"", ""操作系统"", ""理解""]",positive,instructor
R0042,CS310,Operating Systems,Computer Science,zh,这门操作系统的课，作业挺多，不过难度适中，助教也很有耐心。虽然有时候挺累的，但学到挺多东西的。,positive,0.8,"[""workload"", ""teaching_style"", ""instructor""]","[""操作系统"", ""作业"", ""难度"", ""助教"", ""耐心""]",positive,workload
R0043,BUS220,Introduction to Marketing,Business,en,Prof. Johnson's engaging lectures made the marketing concepts click. Her clear examples and relatable anecdotes kept the class interested.,positive,0.95,"[""teaching_style"", ""course_content"", ""instructor""]","[""engaging"", ""lectures"", ""marketing"", ""concepts"", ""click"", ""clear"", ""examples"", ""relatable"", ""anecdotes""]",positive,teaching_style
R0044,CS310,Operating Systems,Computer Science,en,"The lectures were quite informative, but the homework assignments felt a bit overwhelming with the volume and complexity. The exam was challenging, but not impossible. The teaching assistant was helpful, albeit a bit disorganized.",neutral,0.8,"[""teaching_style"", ""workload"", ""exams_grading""]","[""lectures"", ""informative"", ""homework"", ""overwhelming"", ""exam"", ""challenging"", ""teaching assistant"", ""helpful"", ""disorganized""]",neutral,course_content
R0045,CS310,Operating Systems,Computer Science,en,"The constant flow of assignments and exams was overwhelming, especially with the TA's lack of availability. It felt like the course was trying to pack in too much in a short semester.",negative,0.9,"[""workload"", ""instructor"", ""logistics""]","[""assignments"", ""exams"", ""overwhelming"", ""TA"", ""availability""]",negative,logistics
R0046,PHY101,General Physics I,Physics,en,"The teaching style was way too lecture heavy, Professor Smith's monotone voice made it hard to pay attention. Plus, the TA was never available for help with the dense homework problems.",negative,0.8,"[""teaching_style"", ""instructor"", ""workload""]","[""lecture heavy"", ""monotone voice"", ""hard to pay attention"", ""TA"", ""dense homework problems""]",negative,teaching_style
R0047,ENG150,Academic Writing,English,en,"The exam was challenging, but the feedback from the TAs was decent; they didn't provide much detail, though.",negative,0.8,"[""exams_grading"", ""instructor"", ""other""]","[""exam"", ""challenging"", ""feedback"", ""TAs"", ""decent"", ""detail""]",neutral,exams_grading
R0048,CS201,Data Structures,Computer Science,zh,数据结构课程的资料太乱了，讲义和课件都看不懂，感觉像是自己找资料学，老师讲得也不清楚，作业又多，考试还特别难，真心不适合我们这些小白。,negative,0.9,"[""materials"", ""teaching_style"", ""workload""]","[""资料"", ""乱"", ""看不懂"", ""作业"", ""考试""]",negative,materials
R0049,CS420,Machine Learning,Computer Science,zh,老师上课挺有条理的，但感觉讲解深度不够，作业挺多的，有时候小组讨论时间不够用。助教答疑也很认真，就是人有点少。,negative,0.8,"[""teaching_style"", ""workload"", ""instructor""]","[""老师"", ""讲解"", ""作业"", ""讨论"", ""答疑""]",neutral,teaching_style
R0050,CS330,Database Systems,Computer Science,en,"Homework was overwhelming, exams were impossible, and the TA was never available to help. Just exhausting.",negative,0.9,"[""workload"", ""exams_grading"", ""instructor""]","[""Homework"", ""overwhelming"", ""exams"", ""impossible"", ""TA"", ""never"", ""available"", ""help"", ""exhausting""]",negative,workload
R0051,ENG150,Academic Writing,English,en,"The instructor for Academic Writing was very clear in their instructions, but sometimes the feedback on essays took a while to come through.",positive,0.8,"[""teaching_style"", ""instructor"", ""other""]","[""instructor"", ""clear"", ""instructions"", ""feedback"", ""essays""]",neutral,instructor
R0052,CS330,Database Systems,Computer Science,en,"Prof teaches through lectures and slides but sometimes the pacing can feel slow and a bit monotonous. TA helps, but the homework is definitely a beast.",negative,0.8,"[""teaching_style"", ""workload""]","[""lectures"", ""slides"", ""pacing"", ""slow"", ""monotonous"", ""TA"", ""homework""]",neutral,teaching_style
R0053,ENG150,Academic Writing,English,en,"The course schedule was a bit tight, but the TA was pretty responsive to questions. I just wish there were more break times between assignments.",neutral,0.8,"[""logistics"", ""instructor"", ""other""]","[""course"", ""schedule"", ""tight"", ""TA"", ""responsive"", ""questions"", ""break"", ""assignments""]",neutral,logistics
R0054,PHY101,General Physics I,Physics,en,"The exams were fair, but the grading was inconsistent. Some TAs were more generous than others.",negative,0.8,"[""exams_grading"", ""instructor""]","[""exams"", ""grading"", ""inconsistent"", ""generous"", ""TAs""]",neutral,exams_grading
R0055,CS420,Machine Learning,Computer Science,en,"The content was dense and covered a lot of topics, but the readings were a bit overwhelming. The homework load was high, but the exams were fair.",neutral,0.8,"[""course_content"", ""workload"", ""exams_grading""]","[""dense"", ""topics"", ""overwhelming"", ""homework"", ""high"", ""exams"", ""fair""]",neutral,course_content
R0056,BUS220,Introduction to Marketing,Business,en,"The reading materials were a bit dense for a first-year course, but the textbook was helpful. I wish the readings were more concise and the weekly assignments were less time-consuming.",neutral,0.8,"[""materials"", ""workload"", ""teaching_style""]","[""reading"", ""materials"", ""dense"", ""textbook"", ""helpful"", ""readings"", ""concise"", ""assignments"", ""time-consuming""]",neutral,materials
R0057,CS201,Data Structures,Computer Science,en,"The study materials were super helpful, with clear examples and explanations. The online forums were also a great resource for extra help.",positive,0.95,"[""materials"", ""instructor"", ""logistics""]","[""study materials"", ""clear examples"", ""explanations"", ""online forums"", ""extra help""]",positive,materials
R0058,PHY101,General Physics I,Physics,en,The workload was unbearable. Homework was a constant flood and exams were way too hard. TA's were barely available to help.,negative,0.9,"[""workload"", ""course_content"", ""exams_grading""]","[""workload"", ""homework"", ""flood"", ""exams"", ""hard"", ""TA's"", ""available"", ""help""]",negative,workload
R0059,CS330,Database Systems,Computer Science,zh,作业量适中，考试不难，助教答疑及时，课程安排得挺合理的。,positive,0.9,"[""workload"", ""exams_grading"", ""instructor""]","[""作业量"", ""考试"", ""助教"", ""答疑"", ""课程安排""]",positive,logistics
R0060,CS310,Operating Systems,Computer Science,en,"The textbooks are outdated and the supplementary materials are sparse, making it hard to prepare for the exams with the heavy homework load.",negative,0.8,"[""materials"", ""workload"", ""exams_grading""]","[""textbooks"", ""outdated"", ""supplementary"", ""sparse"", ""prepare"", ""exams"", ""heavy"", ""homework""]",negative,materials
R0061,PHY101,General Physics I,Physics,en,"The instructor's delivery was really dry, and the TAs were hit or miss on helping with homework. Exams were a nightmare!",negative,0.8,"[""teaching_style"", ""instructor"", ""exams_grading""]","[""instructor"", ""dry"", ""TAs"", ""homework"", ""exams""]",negative,instructor
R0062,ENG150,Academic Writing,English,zh,这门学术写作课内容丰富，案例分析到位，让我对论文写作有了更深的理解。作业量适中，助教答疑很耐心，收获满满。,positive,0.95,"[""course_content"", ""workload"", ""instructor""]","[""学术写作"", ""内容丰富"", ""案例分析"", ""论文写作"", ""作业量"", ""助教答疑""]",positive,course_content
R0063,BUS220,Introduction to Marketing,Business,en,Prof. Smith's teaching style was awesome. She made concepts so clear with her engaging lectures and case studies. Never thought marketing could be this fun!,positive,0.95,"[""teaching_style"", ""course_content"", ""instructor""]","[""teaching"", ""style"", ""awesome"", ""engaging"", ""lectures""]",positive,teaching_style
R0064,ENG150,Academic Writing,English,en,The workload was just right; the assignments helped me improve my skills without overwhelming me.,positive,0.9,"[""workload"", ""assignments"", ""skills""]","[""workload"", ""assignments"", ""skills"", ""improve""]",positive,workload
R0065,BUS220,Introduction to Marketing,Business,zh,市场营销课程内容挺全面的，但作业挺多，考试难度也不小，助教解答问题挺耐心。,positive,0.8,"[""course_content"", ""workload"", ""exams_grading""]","[""市场营销"", ""全面"", ""作业"", ""考试"", ""难度"", ""耐心""]",neutral,course_content
R0066,MATH240,Linear Algebra,Mathematics,zh,线性代数的老师上课讲得不清，作业又多又难，助教也没办法解释清楚，真是头疼。,negative,0.8,"[""teaching_style"", ""workload"", ""instructor""]","[""老师"", ""不清"", ""作业"", ""多"", ""难"", ""助教"", ""解释""]",negative,instructor
R0067,PHY101,General Physics I,Physics,zh,高斯定律和电磁场部分讲解得很清楚，作业题量适中，难度也不高，学起来挺有意思的。,positive,0.95,"[""teaching_style"", ""course_content"", ""workload""]","[""高斯定律"", ""电磁场"", ""讲解"", ""作业题量"", ""难度"", ""有意思""]",positive,course_content
R0068,MATH240,Linear Algebra,Mathematics,en,"The workload was intense but manageable, with the TA providing great support during office hours. I didn't dread the homework or exams!",positive,0.95,"[""workload"", ""instructor"", ""exams_grading""]","[""workload"", ""intense"", ""manageable"", ""TA"", ""support""]",positive,workload
R0069,MATH240,Linear Algebra,Mathematics,en,"The exams were definitely challenging, but I feel like the grading was fair considering the complexity of the subject. The TAs did a good job with the review sessions, but the homework load got intense towards the end of the semester.",positive,0.8,"[""exams_grading"", ""instructor"", ""workload""]","[""exams"", ""challenging"", ""grading"", ""fair"", ""TAs"", ""review sessions"", ""homework"", ""intense""]",neutral,exams_grading
R0070,CS201,Data Structures,Computer Science,en,"The course covered a wide range of data structures, but the homework was quite challenging, and some assignments seemed more like research projects than typical coursework. The exams were definitely tough, but they tested our understanding well.",neutral,0.8,"[""course_content"", ""workload"", ""exams_grading""]","[""data structures"", ""homework"", ""challenging"", ""assignments"", ""research projects"", ""exams"", ""understanding""]",neutral,course_content
R0071,CS420,Machine Learning,Computer Science,en,"The readings are too dense, and the online materials are a mess. It's hard to follow along, especially for beginners like me.",negative,0.8,"[""materials"", ""teaching_style"", ""course_content""]","[""readings"", ""dense"", ""online"", ""materials"", ""mess""]",negative,materials
R0072,CS201,Data Structures,Computer Science,en,Professor Smith's lectures are clear but the homework load is pretty heavy. TA's aren't the best at explaining concepts.,negative,0.8,"[""teaching_style"", ""workload"", ""instructor""]","[""Professor Smith"", ""lectures"", ""clear"", ""homework"", ""heavy"", ""TA's"", ""explaining"", ""concepts""]",neutral,instructor
R0073,CS310,Operating Systems,Computer Science,en,"The Operating Systems course covered the basics well, but the homework load got a bit heavy towards the end. The exam questions were tricky, but the TA helped clarify some concepts during office hours.",neutral,0.8,"[""teaching_style"", ""course_content"", ""workload"", ""exams_grading"", ""instructor""]","[""Operating Systems"", ""basics"", ""homework"", ""heavy"", ""exam"", ""questions"", ""tricky"", ""TA"", ""help"", ""office hours""]",neutral,course_content
R0074,CS310,Operating Systems,Computer Science,zh,操作系统课程内容过于陈旧，作业和考试难度都很大，助教讲解也不太清楚，学起来很吃力。,negative,0.8,"[""course_content"", ""workload"", ""instructor""]","[""操作系统"", ""课程内容"", ""陈旧"", ""作业"", ""考试"", ""难度"", ""助教"", ""讲解"", ""不清楚""]",negative,course_content
R0075,CS310,Operating Systems,Computer Science,zh,操作系统考试题目挺多的，感觉难度适中，但评分比较严格，平时作业有点多，助教批改作业速度一般。,negative,0.8,"[""exams_grading"", ""workload"", ""instructor""]","[""考试"", ""难度"", ""严格"", ""作业"", ""助教""]",neutral,exams_grading
R0076,ENG150,Academic Writing,English,zh,作业挺多的，考试难度适中，助教解答耐心。,positive,0.8,"[""workload"", ""exams_grading"", ""instructor""]","[""作业"", ""考试"", ""难度"", ""适中"", ""助教"", ""解答"", ""耐心""]",neutral,workload
R0077,MATH240,Linear Algebra,Mathematics,en,"Dr. Smith was amazing! She made the abstract concepts feel real, and her office hours were super helpful.",positive,0.95,"[""teaching_style"", ""instructor"", ""other""]","[""Dr. Smith"", ""amazing"", ""abstract"", ""concepts"", ""real"", ""office"", ""hours"", ""helpful""]",positive,instructor
R0078,CS420,Machine Learning,Computer Science,en,"Dr. Thompson's teaching style was super clear, he made complex concepts super easy to grasp. TAs were also on point with their office hours.",positive,0.95,"[""teaching_style"", ""instructor""]","[""Dr. Thompson"", ""teaching style"", ""clear"", ""easy"", ""grasp"", ""TAs"", ""office hours""]",positive,instructor
R0079,CS310,Operating Systems,Computer Science,zh,这门操作系统课的内容真的很有深度，每周的作业虽然不少，但都能学到实用的知识，老师出的题也不容易，但学完后挺有成就感的。助教人也挺好的，经常答疑解惑。,positive,0.95,"[""course_content"", ""workload"", ""instructor""]","[""操作系统"", ""深度"", ""作业"", ""知识"", ""老师"", ""题"", ""成就感"", ""助教"", ""答疑""]",positive,course_content
R0080,BUS220,Introduction to Marketing,Business,en,"The course schedule was really well-organized and the TA was always on time for office hours, which made it easier to catch up on missed material.",positive,0.9,"[""logistics"", ""instructor"", ""other""]","[""course"", ""schedule"", ""well-organized"", ""TA"", ""office"", ""hours"", ""catch"", ""missed"", ""material""]",positive,logistics
R0081,MATH240,Linear Algebra,Mathematics,en,"The TA made sure the exams were fair and the grading was consistent, even though the homework load was heavy.",positive,0.8,"[""exams_grading"", ""workload"", ""instructor""]","[""TA"", ""exams"", ""fair"", ""grading"", ""consistent"", ""homework"", ""load""]",positive,exams_grading
R0082,CS201,Data Structures,Computer Science,zh,数据结构课挺有意思的，作业和考试难度适中，助教也很有耐心，讲的内容挺实用的，学到了不少东西。,positive,0.95,"[""teaching_style"", ""course_content"", ""instructor""]","[""数据结构"", ""有意思"", ""作业"", ""考试"", ""难度"", ""适中"", ""助教"", ""耐心"", ""实用"", ""学到""]",positive,course_content
R0083,PHY101,General Physics I,Physics,zh,考试难度适中，评分比较公平，但作业量有点大，助教批改作业速度较慢。,negative,0.8,"[""exams_grading"", ""workload"", ""instructor""]","[""考试"", ""难度"", ""适中"", ""评分"", ""公平"", ""作业量"", ""大"", ""助教"", ""批改"", ""速度"", ""慢""]",neutral,exams_grading
R0084,CS310,Operating Systems,Computer Science,en,The Operating Systems lectures were a real struggle. The material was dense and the homework assignments were relentless. The TA's explanations felt like a foreign language sometimes.,negative,0.9,"[""teaching_style"", ""course_content"", ""workload""]","[""Operating Systems"", ""lectures"", ""struggle"", ""material"", ""dense"", ""homework"", ""assignments"", ""relentless"", ""TA's"", ""explanations"", ""foreign"", ""language""]",negative,course_content
R0085,CS201,Data Structures,Computer Science,zh,老师上课内容太枯燥，布置的作业又多，助教也没法及时解答问题，感觉学不到什么。,negative,0.8,"[""teaching_style"", ""workload"", ""instructor""]","[""老师"", ""枯燥"", ""作业"", ""助教"", ""解答""]",negative,instructor
R0086,CS310,Operating Systems,Computer Science,en,"The reading assignments are comprehensive but a bit dense for beginners. The textbook's examples are helpful though, especially when working on the lab assignments.",positive,0.8,"[""course_content"", ""materials"", ""instructor""]","[""reading assignments"", ""comprehensive"", ""dense"", ""beginners"", ""textbook"", ""examples"", ""helpful"", ""lab assignments""]",neutral,materials
R0087,CS201,Data Structures,Computer Science,en,"The exams were fair, but the grading was inconsistent. Some TAs were really helpful, others didn't explain much.",negative,0.8,"[""exams_grading"", ""instructor"", ""teaching_style""]","[""exams"", ""grading"", ""inconsistent"", ""TAs"", ""helpful"", ""explain""]",neutral,exams_grading
R0088,ENG150,Academic Writing,English,zh,老师挺认真的，但作业量挺大的，助教帮忙解答问题也不太及时。,negative,0.8,"[""workload"", ""instructor"", ""logistics""]","[""老师"", ""认真"", ""作业量"", ""大"", ""助教"", ""解答"", ""问题"", ""不"", ""及时""]",neutral,instructor
R0089,CS420,Machine Learning,Computer Science,zh,老师发的讲义和PPT很全，例题解析得也很清楚，自学起来挺轻松的，作业也不多，感觉收获很大。,positive,0.95,"[""materials"", ""teaching_style"", ""workload""]","[""讲义"", ""PPT"", ""例题"", ""解析"", ""自学"", ""作业"", ""收获""]",positive,materials
R0090,CS310,Operating Systems,Computer Science,en,"The readings were really helpful, and the lecture slides were well-organized. I learned a ton from the textbook and online resources too!",positive,0.95,"[""course_content"", ""materials"", ""teaching_style""]","[""readings"", ""helpful"", ""lecture"", ""slides"", ""organized"", ""textbook"", ""resources""]",positive,materials
R0091,PHY101,General Physics I,Physics,en,Professor Smith's teaching style was engaging and made complex concepts understandable. The way he explained things in class made the homework less daunting.,positive,0.95,"[""teaching_style"", ""course_content"", ""workload""]","[""Professor"", ""Smith"", ""teaching"", ""style"", ""engaging"", ""complex"", ""concepts"", ""understandable"", ""explained"", ""homework"", ""daunting""]",positive,teaching_style
